iter	Passed	Remaining
0	0	58
1	1	53
2	1	50
3	1	46
4	2	46
5	2	45
6	3	44
7	3	44
8	4	43
9	4	43
10	5	42
11	5	42
12	6	41
13	6	42
14	7	41
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	32	16
66	32	16
67	33	15
68	33	15
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	39	8
82	40	8
83	41	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	47	0
98	48	0
99	48	0
